Time (UTCG),Classical.ArgumentOfLatitude (deg)
39:00.0,70.812
40:00.0,74.414
41:00.0,78.016
42:00.0,81.618
43:00.0,85.221
44:00.0,88.823
45:00.0,92.425
46:00.0,96.027
47:00.0,99.629
48:00.0,103.231
49:00.0,106.833
50:00.0,110.436
51:00.0,114.038
52:00.0,117.64
53:00.0,121.242
54:00.0,124.844
55:00.0,128.446
56:00.0,132.049
57:00.0,135.651
58:00.0,139.253
59:00.0,142.855
00:00.0,146.457
01:00.0,150.059
02:00.0,153.662
03:00.0,157.264
04:00.0,160.866
05:00.0,164.468
06:00.0,168.07
07:00.0,171.672
08:00.0,175.274
09:00.0,178.877
10:00.0,182.479
11:00.0,186.081
12:00.0,189.683
13:00.0,193.285
14:00.0,196.887
15:00.0,200.49
16:00.0,204.092
17:00.0,207.694
18:00.0,211.296
19:00.0,214.898
20:00.0,218.5
21:00.0,222.102
22:00.0,225.705
23:00.0,229.307
24:00.0,232.909
25:00.0,236.511
26:00.0,240.113
27:00.0,243.715
28:00.0,247.318
29:00.0,250.92
30:00.0,254.522
31:00.0,258.124
32:00.0,261.726
33:00.0,265.328
34:00.0,268.931
35:00.0,272.533
36:00.0,276.135
37:00.0,279.737
38:00.0,283.339
39:00.0,286.941
40:00.0,290.543
41:00.0,294.146
42:00.0,297.748
43:00.0,301.35
44:00.0,304.952
45:00.0,308.554
46:00.0,312.156
47:00.0,315.759
48:00.0,319.361
49:00.0,322.963
50:00.0,326.565
51:00.0,330.167
52:00.0,333.769
53:00.0,337.371
54:00.0,340.974
55:00.0,344.576
56:00.0,348.178
57:00.0,351.78
58:00.0,355.382
59:00.0,358.984
00:00.0,2.587
01:00.0,6.189
02:00.0,9.791
03:00.0,13.393
04:00.0,16.995
05:00.0,20.597
06:00.0,24.2
07:00.0,27.802
08:00.0,31.404
09:00.0,35.006
10:00.0,38.608
11:00.0,42.21
12:00.0,45.812
13:00.0,49.415
14:00.0,53.017
15:00.0,56.619
16:00.0,60.221
17:00.0,63.823
18:00.0,67.425
19:00.0,71.028
20:00.0,74.63
21:00.0,78.232
22:00.0,81.834
23:00.0,85.436
24:00.0,89.038
25:00.0,92.64
26:00.0,96.243
27:00.0,99.845
28:00.0,103.447
29:00.0,107.049
30:00.0,110.651
31:00.0,114.253
32:00.0,117.856
33:00.0,121.458
34:00.0,125.06
35:00.0,128.662
36:00.0,132.264
37:00.0,135.866
38:00.0,139.469
39:00.0,143.071
40:00.0,146.673
41:00.0,150.275
42:00.0,153.877
43:00.0,157.479
44:00.0,161.081
45:00.0,164.684
46:00.0,168.286
47:00.0,171.888
48:00.0,175.49
49:00.0,179.092
50:00.0,182.694
51:00.0,186.297
52:00.0,189.899
53:00.0,193.501
54:00.0,197.103
55:00.0,200.705
56:00.0,204.307
57:00.0,207.909
58:00.0,211.512
59:00.0,215.114
00:00.0,218.716
01:00.0,222.318
02:00.0,225.92
03:00.0,229.522
04:00.0,233.125
05:00.0,236.727
06:00.0,240.329
07:00.0,243.931
08:00.0,247.533
09:00.0,251.135
10:00.0,254.737
11:00.0,258.34
12:00.0,261.942
13:00.0,265.544
14:00.0,269.146
15:00.0,272.748
16:00.0,276.35
17:00.0,279.953
18:00.0,283.555
19:00.0,287.157
20:00.0,290.759
21:00.0,294.361
22:00.0,297.963
23:00.0,301.566
24:00.0,305.168
25:00.0,308.77
26:00.0,312.372
27:00.0,315.974
28:00.0,319.576
29:00.0,323.178
30:00.0,326.781
31:00.0,330.383
32:00.0,333.985
33:00.0,337.587
34:00.0,341.189
35:00.0,344.791
36:00.0,348.394
37:00.0,351.996
38:00.0,355.598
39:00.0,359.2
40:00.0,2.802
41:00.0,6.404
42:00.0,10.006
43:00.0,13.609
44:00.0,17.211
45:00.0,20.813
46:00.0,24.415
47:00.0,28.017
48:00.0,31.619
49:00.0,35.222
50:00.0,38.824
51:00.0,42.426
52:00.0,46.028
53:00.0,49.63
54:00.0,53.232
55:00.0,56.835
56:00.0,60.437
57:00.0,64.039
58:00.0,67.641
59:00.0,71.243
00:00.0,74.845
01:00.0,78.447
02:00.0,82.05
03:00.0,85.652
04:00.0,89.254
05:00.0,92.856
06:00.0,96.458
07:00.0,100.06
08:00.0,103.663
09:00.0,107.265
10:00.0,110.867
11:00.0,114.469
12:00.0,118.071
13:00.0,121.673
14:00.0,125.275
15:00.0,128.878
16:00.0,132.48
17:00.0,136.082
18:00.0,139.684
19:00.0,143.286
20:00.0,146.888
21:00.0,150.491
22:00.0,154.093
23:00.0,157.695
24:00.0,161.297
25:00.0,164.899
26:00.0,168.501
27:00.0,172.104
28:00.0,175.706
29:00.0,179.308
30:00.0,182.91
31:00.0,186.512
32:00.0,190.114
33:00.0,193.716
34:00.0,197.319
35:00.0,200.921
36:00.0,204.523
37:00.0,208.125
38:00.0,211.727
39:00.0,215.329
40:00.0,218.932
41:00.0,222.534
42:00.0,226.136
43:00.0,229.738
44:00.0,233.34
45:00.0,236.942
46:00.0,240.544
47:00.0,244.147
48:00.0,247.749
49:00.0,251.351
50:00.0,254.953
51:00.0,258.555
52:00.0,262.157
53:00.0,265.76
54:00.0,269.362
55:00.0,272.964
56:00.0,276.566
57:00.0,280.168
58:00.0,283.77
59:00.0,287.373
00:00.0,290.975
01:00.0,294.577
02:00.0,298.179
03:00.0,301.781
04:00.0,305.383
05:00.0,308.985
